ID de la réponse;Date de soumission;Dernière page;Date de lancement;Date de la dernière action;Avez-vous été confronté, que ce soit en tant que victime ou témoin, à des contenus haineux ou injurieux sur internet ?;De quelle nature étaient-ils ?  [Raciste];De quelle nature étaient-ils ?  [Antisémite];De quelle nature étaient-ils ?  [Xénophobe];De quelle nature étaient-ils ?  [Sexiste];De quelle nature étaient-ils ?  [LGBTphobe];De quelle nature étaient-ils ?  [En raison de votre religion];De quelle nature étaient-ils ?  [En raison d'un handicap];De quelle nature étaient-ils ?  [Diffamatoire];De quelle nature étaient-ils ?  [Injurieux];De quelle nature étaient-ils ?  [Harcèlement];De quelle nature étaient-ils ?  [Menace];De quelle nature étaient-ils ?  [Autre];Les avez-vous signalés au site qui les hébergeait ?;Si oui, quelle suite a été donnée à votre signalement ?;Si oui, quelle suite a été donnée à votre signalement ? [Autre];Si non, pourquoi ? ;Les avez-vous signalés à la justice ?;Si oui, une réponse judiciaire satisfaisante vous a-t-elle été apportée ?;Si oui, une réponse judiciaire satisfaisante vous a-t-elle été apportée ? [Autre];Si non, pourquoi ? ;Connaissez-vous la plateforme PHAROS, qui permet de signaler à la police et à la gendarmerie certains contenus et comportements illégaux observés sur internet ?;Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Par des dispositifs de signalement accessibles et simples d’usage];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Par la mise en place par les opérateurs numériques d’outils de détection automatique];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Par la suppression de l’anonymat sur internet];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Je ne sais pas];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Autre];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Personne, internet doit être un espace libre et non régulé];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Les opérateurs numériques eux-mêmes];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Une autorité indépendante (Défenseur des droits, CSA, HADOPI, ARCEP…)];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Une administration nationale (ministère de l’Intérieur, de l’Économie…)];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Une autorité ou une administration européenne];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [L’autorité judiciaire];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Je ne sais pas];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Autre];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Une peine de mise à l’épreuve, de travail d’intérêt général ou de stage];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Une peine d’amende];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Une peine de prison];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [L’interdiction temporaire d’accéder à internet ou à un ou plusieurs sites internet];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Je ne sais pas];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Autre];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Une peine de mise à l’épreuve, de travail d’intérêt général ou de stage];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Une peine d’amende];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Une peine de prison];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [L’interdiction temporaire d’exercer leur activité];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Je ne sais pas];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Autre];Vous avez ? ;Vous êtes ...
1263;07/05/2019 17:13;3;07/05/2019 17:11;07/05/2019 17:13;Oui, souvent;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Non;Non;;Non;Non;Non;Non;Non;Non;Oui;;Non;Oui;Non;Oui;Non;;Non;Non;Non;Oui;Non;;Entre 40 et 59 ans;Un homme
1264;07/05/2019 17:50;3;07/05/2019 17:47;07/05/2019 17:50;Oui, souvent;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous pensez que cela est inutile;Oui;Oui;Oui;Non;Non;;Non;Non;Oui;Non;Oui;Non;Non;;Non;Non;Non;Oui;Non;;Oui;Non;Non;Oui;Non;;Entre 40 et 59 ans;Un homme
1265;07/05/2019 18:17;3;07/05/2019 18:11;07/05/2019 18:17;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Oui;Non;Non;Oui;Non;;Non;Oui;Oui;Non;Non;Non;Non;;Oui;Non;Non;Non;Non;;Non;Oui;Non;Non;Non;;Entre 25 et 39 ans;Un homme
1266;07/05/2019 20:04;3;07/05/2019 20:00;07/05/2019 20:04;Oui, souvent;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;;Oui;Autre;Parfois retiré d autre fois non;;Non;;;Vous ne le souhaitiez pas;Oui;Oui;Oui;Non;Non;;Non;Non;Oui;Non;Non;Oui;Non;;Non;Oui;Oui;Non;Non;;Non;Oui;Non;Non;Non;;Entre 25 et 39 ans;Un homme
1267;07/05/2019 20:15;3;07/05/2019 20:12;07/05/2019 20:15;Oui, souvent;Oui;Non;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;;Oui;Retrait du contenu;;;Non;;;Vous pensez que cela est inutile;Oui;Oui;Oui;Non;Non;;Non;Oui;Non;Non;Non;Non;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;;70 ans et plus;Une femme
1268;07/05/2019 21:00;3;07/05/2019 20:30;07/05/2019 21:00;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Non;Non;Non;Non;Oui;définition haine,injures les âmes sensibles s'abstenir,le monde ne doit pas être cloner bcbg;Oui;Non;Non;Non;Non;Non;Non;l'expression doit rester libre quoi qu'il en coûte,d'autre part comment peut-on s'informer sur tout?;Non;Non;Non;Non;Non;qui s'arroge le droit de sanctionner?;Non;Non;Non;Non;Non;rien!;Entre 60 et 69 ans;Un homme
1269;07/05/2019 20:40;3;07/05/2019 20:38;07/05/2019 20:40;Oui, de temps en temps;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Oui;Oui;Non;Non;Non;;Non;Non;Non;Non;Non;Oui;Non;;Non;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 60 et 69 ans;Une femme
1270;07/05/2019 21:12;3;07/05/2019 21:07;07/05/2019 21:12;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Non;Non;Non;Non;Non;Par un meilleur contrôle d'accessibilité des sites pornographiques.;Oui;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non;Aucune;Non;Oui;Non;Non;Non;;Entre 18 et 24 ans;Un homme
1271;07/05/2019 22:13;3;07/05/2019 22:10;07/05/2019 22:13;Oui, de temps en temps;Oui;Oui;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Oui;Non;Oui;Non;Non;;Non;Non;Oui;Non;Non;Non;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 40 et 59 ans;Un homme
1272;07/05/2019 22:15;3;07/05/2019 22:12;07/05/2019 22:15;Oui, de temps en temps;Non;Oui;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Oui;Non;;Non;Oui;Oui;Non;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Non;Non;Non;Oui;Non;;Entre 40 et 59 ans;Un homme
1273;07/05/2019 22:35;3;07/05/2019 22:32;07/05/2019 22:35;Oui, de temps en temps;Non;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Non;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Oui;Oui;Non;Non;Non;;Oui;Non;Non;Non;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Non;Non;Non;Non;Oui;;Entre 40 et 59 ans;Un homme
1274;07/05/2019 23:01;3;07/05/2019 22:58;07/05/2019 23:01;Oui, souvent;Oui;Non;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Oui;;Oui;Je ne sais pas;;;Non;;;Vous pensez que cela est inutile;Non;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;Oui;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 25 et 39 ans;Une femme
1275;07/05/2019 23:08;3;07/05/2019 23:04;07/05/2019 23:08;Oui, souvent;Oui;Oui;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;;Oui;Aucune suite donnée au signalement;;;Oui;Autre;J’ai même porté plainte pour homophobie en 2013. La police a fait son travail mais je n’ai jamais eu la moindre réponse de la justice.;;Oui;Non;Oui;Oui;Non;;Non;Non;Non;Oui;Oui;Oui;Non;;Oui;Oui;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Entre 40 et 59 ans;Un homme
1276;07/05/2019 23:21;3;07/05/2019 23:18;07/05/2019 23:21;Oui, de temps en temps;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;;Non;;;Vous ne saviez pas que cela était possible;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Oui;Oui;Non;;Non;Oui;Non;Non;Oui;Non;Non;;Oui;Non;Non;Oui;Non;;Non;Non;Non;Oui;Non;;Entre 40 et 59 ans;Une femme
1277;07/05/2019 23:51;3;07/05/2019 23:47;07/05/2019 23:51;Oui, de temps en temps;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;;Non;;;Vous ne saviez pas que cela était possible;Non;;;Vous ne saviez pas que cela était possible;Oui;Oui;Oui;Oui;Non;;Non;Non;Oui;Oui;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 40 et 59 ans;Une femme
1278;07/05/2019 23:51;3;07/05/2019 23:48;07/05/2019 23:51;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Oui;Non;Non;;Non;Oui;Oui;Non;Non;Oui;Non;;Oui;Oui;Non;Non;Non;;Oui;Oui;Non;Non;Non;;Entre 18 et 24 ans;Un homme
1279;08/05/2019 00:10;3;08/05/2019 00:08;08/05/2019 00:10;Oui, de temps en temps;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous pensez que cela est inutile;Non;Oui;Oui;Oui;Non;;Non;Oui;Oui;Non;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 60 et 69 ans;Une femme
1280;08/05/2019 00:20;3;08/05/2019 00:17;08/05/2019 00:20;Oui, souvent;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Non;Oui;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous ne saviez pas que cela était possible;Non;Oui;Non;Oui;Non;;Non;Non;Non;Oui;Oui;Oui;Non;;Non;Non;Oui;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 25 et 39 ans;Un homme
1281;08/05/2019 00:24;3;08/05/2019 00:22;08/05/2019 00:24;Oui, souvent;Oui;Non;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Non;;Oui;Aucune suite donnée au signalement;;;Oui;Je ne sais pas;;;Oui;Oui;Oui;Non;Non;;Non;Non;Oui;Non;Oui;Non;Non;;Non;Non;Oui;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 40 et 59 ans;Un homme
1282;08/05/2019 07:18;3;08/05/2019 07:15;08/05/2019 07:18;Oui, rarement;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous pensez que cela est inutile;Non;Non;Oui;Oui;Non;;Non;Oui;Non;Oui;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 60 et 69 ans;Un homme
1283;08/05/2019 07:38;3;08/05/2019 07:35;08/05/2019 07:38;Oui, souvent;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Non;Oui;Oui;Non;;Non;Oui;Oui;Oui;Non;Non;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 40 et 59 ans;Un homme
1284;08/05/2019 11:35;3;08/05/2019 11:31;08/05/2019 11:35;Oui, souvent;Oui;Non;Non;Non;Oui;Non;Non;Oui;Oui;Non;Non;;Oui;Retrait du contenu;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Oui;Non;;Non;Non;Oui;Non;Oui;Non;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 40 et 59 ans;Un homme
1285;08/05/2019 11:54;3;08/05/2019 11:50;08/05/2019 11:54;Oui, souvent;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Oui;Oui;Non;;Non;Non;Non;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 40 et 59 ans;Un homme
1286;08/05/2019 13:27;3;08/05/2019 13:25;08/05/2019 13:27;Oui, de temps en temps;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous ne saviez pas que cela était possible;Non;Oui;Non;Non;Non;;Oui;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Oui;;Non;Oui;Non;Non;Non;;Entre 18 et 24 ans;Une femme
1287;08/05/2019 14:46;3;08/05/2019 14:44;08/05/2019 14:46;Oui, de temps en temps;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Oui;Non;Oui;Oui;Non;;Non;Oui;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 60 et 69 ans;Un homme
1288;08/05/2019 14:54;3;08/05/2019 14:52;08/05/2019 14:54;Oui, de temps en temps;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas que cela était possible;Non;Oui;Non;Non;Non;;Non;Non;Oui;Non;Oui;Oui;Non;;Non;Oui;Non;Non;Non;;Oui;Non;Non;Non;Non;;Entre 18 et 24 ans;Un homme
1289;08/05/2019 15:02;3;08/05/2019 14:59;08/05/2019 15:02;Oui, de temps en temps;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous pensez que cela est inutile;Non;Oui;Non;Non;Non;;Non;Non;Oui;Non;Non;Non;Non;;Oui;Non;Non;Non;Non;;Non;Non;Non;Non;Oui;;Entre 18 et 24 ans;Je ne souhaite pas répondre
1291;08/05/2019 18:28;3;08/05/2019 18:26;08/05/2019 18:28;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Non;Non;Oui;Oui;Non;;Non;Oui;Non;Non;Non;Non;Non;;Oui;Oui;Non;Non;Non;;Non;Oui;Non;Non;Non;;Entre 40 et 59 ans;Un homme
1292;08/05/2019 18:43;3;08/05/2019 18:37;08/05/2019 18:43;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Non;Non;Non;Non;Non;"Les plus exposés sont les plus jeunes de notre société. Je pense que l'intervention dans les écoles de façon régulière et à tous les âges peut être un support utiles pour nos têtes blondes ...et plus âgées avec un lien avec les parents. Ma fille a écouté avec beaucoup d'attention à 10 ans ce que la gendarmerie lui a dit. (la même chose que moi je lui disait mais dit par un officier en uniforme ça a plus de poids) Mon regret est que mon plus grand n'a pas eu l'occasion de cette ""rencontre""";Non;Non;Oui;Non;Oui;Non;Non;"En tant que citoyens bienveillant nous nous devons de faire en sorte que cet espace riches d'échanges et de rencontres que représente aujourd'hui internet reste ""adapté"" à tous citoyens.";Oui;Non;Non;Non;Non;;Non;Oui;Non;Non;Non;;Entre 25 et 39 ans;Une femme
1293;08/05/2019 18:51;3;08/05/2019 18:47;08/05/2019 18:51;Oui, souvent;Non;Non;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;toujours en tant que témoin;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Non;Oui;Non;Oui;Non;;Oui;Non;Non;Non;Non;Non;Non;;Non;Oui;Non;Non;Non;;Non;Non;Non;Oui;Non;;Entre 40 et 59 ans;Une femme
1294;08/05/2019 19:40;3;08/05/2019 19:36;08/05/2019 19:40;Oui, rarement;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous pensez que cela est inutile;Non;Oui;Oui;Non;Non;;Non;Oui;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 40 et 59 ans;Un homme
1295;09/05/2019 08:14;3;09/05/2019 08:12;09/05/2019 08:14;Oui, de temps en temps;Oui;Non;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;;Non;;;Vous ne saviez pas que cela était possible;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Oui;Non;Non;;Non;Oui;Non;Non;Non;Oui;Non;;Non;Non;Oui;Oui;Non;;Non;Non;Oui;Oui;Non;;Entre 18 et 24 ans;Une femme
1296;09/05/2019 08:17;3;09/05/2019 08:15;09/05/2019 08:17;Oui, souvent;Oui;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Non;Oui;Non;Non;;Non;Oui;Oui;Non;Non;Non;Non;;Non;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 25 et 39 ans;Un homme
1297;09/05/2019 09:09;3;09/05/2019 09:07;09/05/2019 09:09;Oui, de temps en temps;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;;Oui;Retrait du contenu;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Non;Non;;Non;Non;Non;Non;Non;Oui;Non;;Oui;Oui;Non;Non;Non;;Non;Oui;Non;Non;Non;;Entre 25 et 39 ans;Une femme
1298;09/05/2019 10:02;3;09/05/2019 09:59;09/05/2019 10:02;Oui, souvent;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous ne saviez pas que cela était possible;Non;Oui;Oui;Non;Non;;Non;Oui;Oui;Non;Non;Non;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 18 et 24 ans;Une femme
1299;09/05/2019 10:36;3;09/05/2019 10:32;09/05/2019 10:36;Oui, souvent;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Non;Non;;Non;Non;Oui;Non;Non;Non;Non;;Oui;Non;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Entre 25 et 39 ans;Je ne souhaite pas répondre
1300;09/05/2019 11:59;3;09/05/2019 11:52;09/05/2019 11:59;Oui, souvent;Non;Non;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Oui;Non;Non;;Non;Non;Oui;Non;Non;Non;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 25 et 39 ans;Une femme
1301;09/05/2019 12:48;3;09/05/2019 12:45;09/05/2019 12:48;Oui, souvent;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Négationnisme du génocide des Arméniens;Oui;Aucune suite donnée au signalement;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Non;Non;;Non;Oui;Oui;Non;Non;Oui;Non;;Non;Oui;Oui;Non;Non;;Non;Oui;Non;Oui;Non;;70 ans et plus;Un homme
1302;09/05/2019 13:15;3;09/05/2019 13:10;09/05/2019 13:15;Oui, souvent;Oui;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Oui;Non;Non;;Non;Oui;Oui;Non;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 40 et 59 ans;Une femme
1303;;0;09/05/2019 13:28;09/05/2019 13:28;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;
1304;09/05/2019 13:55;3;09/05/2019 13:47;09/05/2019 13:55;Oui, de temps en temps;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous ne le souhaitiez pas;Non;Non;Non;Non;Non;avoir une attitude critique sur les informations d'internet.ne pas allez sur des sites extrèmistes sachant ce qu'on vas y trouver;Oui;Non;Non;Non;Non;Non;Non;la personne la plus dangereuse c'est soi même;Non;Non;Non;Non;Non;les seuls sanctions envisageables c'est en cas d'appel au meurtre et à la violence dans ce cas la justice doit pouvoir intervenir;Non;Non;Non;Non;Non;ils doivent être informé des sites appellant au meurtre et à la violence physique.S'ils ont été réellement informés  ils peuvent être considérés complices;;Je ne souhaite pas répondre
1305;09/05/2019 13:54;3;09/05/2019 13:50;09/05/2019 13:54;Oui, rarement;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;;Non;;;Vous ne saviez pas que cela était possible;Non;;;Vous ne saviez pas que cela était possible;Non;Oui;Non;Non;Non;;Non;Non;Non;Non;Non;Non;Non;Une institution comme le CNIL;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 25 et 39 ans;Un homme
1306;09/05/2019 14:36;3;09/05/2019 14:33;09/05/2019 14:36;Oui, rarement;Non;Non;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Oui;Oui;Oui;Non;Non;;Non;Non;Oui;Non;Non;Non;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 25 et 39 ans;Une femme
1307;09/05/2019 14:49;3;09/05/2019 14:47;09/05/2019 14:49;Oui, souvent;Oui;Oui;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous pensez que cela est inutile;Non;Non;Oui;Oui;Non;;Non;Oui;Oui;Non;Non;Non;Non;;Oui;Non;Non;Non;Non;;Non;Oui;Non;Non;Non;;Entre 25 et 39 ans;Une femme
1308;09/05/2019 16:49;3;09/05/2019 16:47;09/05/2019 16:49;Oui, souvent;Oui;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous ne le souhaitiez pas;Oui;Oui;Oui;Oui;Non;;Non;Non;Oui;Oui;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 40 et 59 ans;Une femme
1309;09/05/2019 16:59;3;09/05/2019 16:54;09/05/2019 16:59;Oui, de temps en temps;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Oui;Oui;Non;;Non;Oui;Non;Non;Oui;Oui;Non;;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 60 et 69 ans;Une femme
1310;09/05/2019 18:54;3;09/05/2019 18:51;09/05/2019 18:54;Oui, souvent;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Non;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous pensez que cela est inutile;Non;Oui;Oui;Non;Non;;Non;Oui;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Oui;;Non;Non;Non;Non;Oui;;Entre 40 et 59 ans;Un homme
1311;09/05/2019 19:02;3;09/05/2019 19:00;09/05/2019 19:02;Oui, souvent;Oui;Non;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Non;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Non;Non;Oui;Non;;Non;Non;Oui;Oui;Oui;Non;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Oui;Non;;Entre 18 et 24 ans;Une femme
1312;09/05/2019 21:34;3;09/05/2019 21:32;09/05/2019 21:34;Oui, souvent;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Oui;Oui;Oui;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous ne saviez pas que cela était possible;Non;Oui;Non;Oui;Non;;Non;Non;Oui;Non;Non;Non;Non;;Non;Non;Non;Oui;Non;Formation en communication, empathie... pour prévenir les récidives;Non;Non;Non;Non;Oui;;Entre 25 et 39 ans;Une femme
